Age;Living;Death Age
0;382;0
1;162;1
2;102;0
3;223;0
4;248;0
5;165;0
6;124;0
7;153;0
8;126;0
9;349;0
10;104;0
11;145;0
12;151;0
13;129;1
14;134;0
15;89;1
16;82;7
17;116;29
18;604;50
19;937;43
20;784;64
21;796;96
22;849;107
23;912;131
24;931;115
25;798;139
26;886;156
27;948;137
28;1017;155
29;1182;147
30;1064;132
31;910;137
32;940;163
33;922;119
34;951;149
35;768;134
36;697;165
37;697;146
38;728;171
39;555;137
40;316;135
41;324;111
42;328;53
43;154;38
44;212;33
45;138;25
46;160;28
47;160;17
48;105;8
49;233;3
50;58;5
51;79;7
52;62;5
53;80;8
54;80;8
55;60;2
56;52;7
57;62;4
58;26;4
59;83;3
60;36;2
61;30;3
62;31;2
63;13;2
64;22;0
65;7;0
66;7;1
67;14;4
68;10;3
69;27;0
70;0;1
71;3;1
72;1;0
73;2;0
74;8;0
75;1;0
76;2;0
77;2;0
78;3;0
79;6;1
80;1;1
81;0;1
82;0;0
83;2;0
84;0;0
85;0;0
86;0;0
87;1;0
88;0;0
89;3;0
90;0;0
91;0;0
92;0;0
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;1;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;0;0
111;0;0
112;0;0
113;0;0
114;0;0
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;0;0
128;0;0
129;0;0
130;0;0
131;0;0
132;0;0
133;0;0
134;0;0
135;0;0
136;0;0
137;0;0
138;0;0
139;0;0
140;0;0
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0;0
152;0;0
153;0;0
154;0;0
155;0;0
156;0;0
157;0;0
158;0;0
159;0;0
160;0;0
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;0;0
176;0;0
177;0;0
178;0;0
179;0;0
180;0;0
181;0;0
182;0;0
183;0;0
184;0;0
185;0;0
186;0;0
187;0;0
188;0;0
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0;0
200;0;0
201;0;0
202;0;0
203;0;0
204;0;0
205;0;0
206;0;0
207;0;0
208;0;0
209;0;0
210;0;0
211;0;0
212;0;0
213;0;0
214;0;0
215;0;0
216;0;0
217;0;0
218;0;0
219;0;0
220;0;0
221;0;0
222;0;0
223;1;0
